Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0805,3,C-100nF-0805,
"J1, J10, J4, J5, J6, J7, J8, J9",PinHeader_1x02_P2.54mm_Vertical,8,Conn_01x02_Pin,
J2,MB_USB,1,USB_MB,
"J3, USB_2_Out1",PinHeader_1x05_P2.54mm_Vertical,2,Conn_01x05,
"R1, R3, R4, R5, R6, R7, R8, R9",0603,8,R-10k-0603,
R2,0603,1,R-100k-0603,
U1,TSSOP-20_4.4x6.5mm_P0.65mm,1,STM32F042F4Px,
U2,SOT-223,1,ZLDO1117G33TA,
