ID;Name;Designator;Footprint;Quantity;Manufacturer Part;Manufacturer;Supplier;Supplier Part;Price
1;4.7uF;C1,C3,C4;C0805;3;CL21A475KBQNNNE;SAMSUNG(三星);LCSC;C98192;0.02
2;100nF;C2;C0603;1;CL10B104KC8NNNC;SAMSUNG(三星);LCSC;C15725;0.006
3;MMBT5088LT1G;Q1,Q2;SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR;2;MMBT5088LT1G;onsemi(安森美);LCSC;C232555;0.054
4;24kΩ;R1;R0603;1;AR03BTCX2402;Viking(光颉);LCSC;C319717;0.03
5;10KΩ;R2;R0603;1;NTCS0603E3103FLT;VISHAY(威世);LCSC;C142556;0.324
6;49.9kΩ;R3,R4;R0603;2;RT0603BRD0749K9L;YAGEO(国巨);LCSC;C705780;0.024
7;TPS7B6950DBVR;U1;SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL;1;TPS7B6950DBVR;TI(德州仪器);LCSC;C174327;0.455
8;BWSMA-KE-P001;U2,U3;SMA-SMD_BWSMA-KE-P001;2;BWSMA-KE-P001;BAT WIRELESS;LCSC;C496550;0.386
