project_id,name,path,classification,hw_score
68863411,VME FMC Carrier VFC,ohwr/project/fmc-vme-carrier,hardware,0
68863333,FMC Projects,ohwr/project/fmc-projects,not_hardware,0
68863284,FMC ADC 100M 14b 4cha,ohwr/project/fmc-adc-100m14b4cha,hardware,0
68863218,FMC DAC 10M 16b 4cha,ohwr/project/fmc-dac-1,not_hardware,0
68863184,HDL Core Lib,ohwr/project/hdl-core-lib,not_hardware,0
68863146,OHR Support,ohwr/project/ohr-support,not_hardware,0
68863118,FMC DIO 16ch TTL a,ohwr/project/fmc-dio-16chttla,hardware,34
68863072,Wishbone slave generator,ohwr/project/wishbone-gen,not_hardware,0
68863036,VME64x core,ohwr/project/vme64x-core,hardware,0
68862996,FMC ADC 200k 16b 11cha,ohwr/project/fmc-adc-100k16b8cha,hardware,84
68862981,nanoFIP Test Board,ohwr/project/nanofip-test-board,hardware,0
68862874,Gennum GN4124 core,ohwr/project/gn4124-core,hardware,0
68862829,FMC DEL 1ns 4cha,ohwr/project/fmc-delay-1ns-8cha,hardware,0
68862781,ARMadillo,ohwr/project/armadillo,hardware,0
68862748,OHR Meta Project,ohwr/project/ohr-meta,not_hardware,0
68862616,Simple PCIe FMC carrier SPEC,ohwr/project/spec,hardware,0
68862557,Level conversion circuits,ohwr/project/level-conversion,hardware,29
68862520,Conv TTL NIM 3in 30out,ohwr/project/conv-ttl-nim-3i-30o,hardware,0
68862484,FIP Converter,ohwr/project/fip-converter,not hardware,5
68862452,EtherBone Core,ohwr/project/etherbone-core,not_hardware,0
68862406,DDR3 controller for Spartan6,ohwr/project/ddr3-sp6-core,hardware,0
68862340,Miscellaneous Projects - non-HW,ohwr/project/misc,empty_respository,0
68862307,ADC  Testing,ohwr/project/adc-testing,not_hardware,0
68862269,VXS DSP FMC carrier,ohwr/project/vxs-dsp-fmc-carrier,hardware,68
68862255,RHINO,ohwr/project/rhino-hardware-01,hardware,73
68862233,White Rabbit Switch - Software,ohwr/project/wr-switch-sw,not_hardware,0
68862036,FMC PCIe Carrier PFC - Software,ohwr/project/pfc-sw,not_hardware,0
68861997,Optical link interface AMC,ohwr/project/glib,hardware,33
68861959,Wishbone Serializer Core,ohwr/project/wb-serializer-core,not hardware,4
68861936,Low-level RF Servo control,ohwr/project/lrfsc,ambiguous,15
68861897,FMC TDC 1ns 5cha,ohwr/project/fmc-tdc,hardware,0
68861865,FMC Carrier tester,ohwr/project/fmc-conn-tester,hardware,0
68861818,OpenPicus,ohwr/project/openpicus,not hardware,2
68861795,Hdlmake,ohwr/project/hdl-make,hardware,0
68861757,FMC DAC 250M 16b 4cha,ohwr/project/fmc-dac-250m16b4cha,hardware,206
68861740,SPI Boards Package,ohwr/project/spi-board-package,hardware,22
68861729,AIDA-2020 TLU,ohwr/project/fmc-mtlu,not_hardware,0
68861561,PHASE,ohwr/project/phase,not_hardware,0
68861480,IPBus,ohwr/project/ipbus,not hardware,2
68861391,Platform-independent core collection,ohwr/project/general-cores,not_hardware,0
68861353,White Rabbit core collection,ohwr/project/wr-cores,hardware,0
68861273,White Rabbit Switch - Gateware,ohwr/project/wr-switch-hdl,not_hardware,0
68861149,FPGA Configuration Space,ohwr/project/fpga-config-space,not_hardware,0
68861089,FMC DIO 5ch TTL a,ohwr/project/fmc-dio-5chttla,hardware,0
68861053,CERN Open Hardware Licence,ohwr/project/cernohl,not_hardware,0
68861044,TDC core,ohwr/project/tdc-core,hardware,0
68861039,Conv TTL Blocking,ohwr/project/conv-ttl-blo,not_hardware,0
68860935,GTS Guesses Timing Somehow,ohwr/project/gts,empty_respository,0
68860921,Production Test Suite,ohwr/project/pts,hardware,0
68858212,Simple VME FMC Carrier SVEC,ohwr/project/svec,hardware,0
68858182,FMC ADC 125M 14b 1ch DAC 600M 14b 1ch,ohwr/project/fmc-adc125m14b1ch-dac600m14b1ch,hardware,59
68858148,Simple PCIe FMC carrier SPEC - Software,ohwr/project/spec-sw,not_hardware,0
68858119,Optical Clock and Data Recovery FMC,ohwr/project/optical-cdr-fmc,hardware,21
68858103,FMC ADC 1G 8b 2cha,ohwr/project/fmc-adc-1g8b2cha,hardware,0
68858051,CERN LNGS Time Transfer,ohwr/project/cngs-time-transfer,not hardware,2
68857992,ZIO,ohwr/project/zio,not_hardware,0
68857928,FMC LPC 100 Mil 12 Pin Digital IO Expansion Board,ohwr/project/lpcfmc12pexp,ambiguous,18
68857881,HiCCE-FMC-128,ohwr/project/hicce-fmc-128,hardware,0
68857839,QDR II controller for Virtex 6,ohwr/project/qdr2-v6-core,hardware,45
68857804,Conv TTL RS485,ohwr/project/conv-ttl-rs485,not_hardware,0
68857737,ROBIN-NP - Hardware,ohwr/project/atlas-robin-np-hw,empty_respository,0
68857705,ROBIN-NP - Gateware,ohwr/project/atlas-robin-np-fw,not_hardware,0
68857640,ROBIN-NP - Software,ohwr/project/atlas-robin-np-sw,not_hardware,0
68857618,White Rabbit Network Robustness,ohwr/project/wrn-robustness,not_hardware,0
68857609,Simple PXIe FMC Carrier SPEXI,ohwr/project/spexi,not_hardware,0
68857506,FMC ADC 250M 12b 2cha,ohwr/project/fmc-adc-250m12b2cha,hardware,87
68857475,FMC 8 channel temperature monitor,ohwr/project/fmc-8cha-temp,ambiguous,16
68857423,FMC PowerPC carrier SPEC-based,ohwr/project/powec,hardware,34
68857396,Handheld measurement terminal,ohwr/project/hmt-3cha,hardware,47
68857377,White Rabbit Switch - Testing,ohwr/project/wr-switch-testing,hardware,0
68857314,White Rabbit Network Interface Card,ohwr/project/wr-nic,hardware,0
68857292,Compact Universal Timing Endpoint based on White Rabbit,ohwr/project/cute-wr,not_hardware,0
68857285,Software for White Rabbit PTP Core,ohwr/project/wrpc-sw,not_hardware,0
68857216,PPSi,ohwr/project/ppsi,hardware,0
68857183,Distributed RF over White Rabbit,ohwr/project/wr-drf,ambiguous,13
68857159,nanoFIPDiag,ohwr/project/nanofipdiag,not hardware,7
68857147,White Rabbit Standardization,ohwr/project/wr-std,not_hardware,0
68856992,Electronics Design,ohwr/project/ed,hardware,34
68856942,Beam Position Monitor,ohwr/project/bpm,not_hardware,0
68856914,Beam Positoning Monitor - RF Front-End,ohwr/project/bpm-rffe,not_hardware,0
68856871,White Rabbit Switch - Hardware,ohwr/project/wr-switch-hw,hardware,0
68856820,Neo51,ohwr/project/neo51,empty_respository,0
68856779,FMC ADC 2M 18b 2ch DAC 500k 20b 1ch,ohwr/project/fmc-adc2m18b2ch-dac500k20b1ch,hardware,31
68856728,FMC ADC 10M 16b 2ch DAC 50M 16b 2ch,ohwr/project/fmc-adc10m16b2ch-dac50m16b1ch,ambiguous,13
68856694,AsyncArt,ohwr/project/asyncart,hardware,0
68856623,FMC DEL 1ns 4cha - Software,ohwr/project/fine-delay-sw,not_hardware,0
68856587,TimEX3,ohwr/project/timex3,hardware,0
68856527,FMC ADC 100M 14b 4cha - Software,ohwr/project/fmc-adc-100m14b4cha-sw,not_hardware,0
68856471,PTP noposix stack,ohwr/project/ptp-noposix,not_hardware,0
68856454,FMC ADC 130M 16b 4cha,ohwr/project/fmc-adc-130m-16b-4cha,not_hardware,0
68856415,FMC ADC 250M 16b 4cha,ohwr/project/fmc-adc-250m-16b-4cha,hardware,0
68856403,GSI Timing Starter Kit,ohwr/project/gsi-timing-starter-kit,not_hardware,0
68856363,FMC TDC 1ns 5cha - Software,ohwr/project/fmc-tdc-sw,not_hardware,0
68856336,Beam Positoning Monitor - Software,ohwr/project/bpm-sw,not_hardware,0
68856308,FMC Bus,ohwr/project/fmc-bus,not_hardware,0
68856296,White Rabbit Starting Kit,ohwr/project/wr-starting-kit,not_hardware,0
68856282,Simple VME FMC Carrier SVEC - Software,ohwr/project/svec-sw,not_hardware,0
68856250,SPICONTROLLER,ohwr/project/spicontroller,hardware,26
68856231,SPIETBOX,ohwr/project/spietbox,not hardware,5
68856200,CERN BE-CO-HT contribution to KiCad,ohwr/project/cern-kicad,hardware,506
68856162,Libre Filter Design and Analysis Tool,ohwr/project/libre-fdatool,not_hardware,0
68856148,PMTLib,ohwr/project/pmtlib,hardware,0
68856142,AMC FMC Carrier AFC,ohwr/project/afc,hardware,0
